path,duration,transcript
881897068939900.mp3,45.12,dạ mobifone xin nghe em là minh anh có thể giúp được gì cho anh chị ạ chị kiểm tra giùm em cái số điện thoại này gọi lên đó em mới cài ba g d mười á mà không hoạt động không chạy được luôn á chị dạ vâng rất xin lỗi về sự bất tiện này cho em xin anh tên gì để em tiện xưng hô được không ạ dạ em tên minh dạ em chào anh minh số anh minh đây em kiểm tra là đúng là có đăng ký gói cước d mười cho mọi thiết bị di động máy ba g bốn g hay kiểu gì vậy anh minh à vậy hả chị vâng hỗ trợ download là mở đường truyền truy cập mạng cho sim của anh minh lại kết thúc cuộc gọi này anh thông cảm tắt nguồn máy hai phút sau anh mở nguồn nên bật lại dùng lại thử xem được chưa nha được rồi ok em cám ơn chị mình cần hỗ trợ thông tin
881897068939901.mp3,145.02,dạ mobifone xin nghe em tên lý em xin phép hỗ trợ anh chị ạ em ơi cho chị hỏi là cái sim của chị sao không có gửi được tin nhắn báo lỗi ba tám là sao số điện thoại chị đang gọi cho em đúng không ạ đúng rồi chị gửi tin nhắn thông thường hay là gửi từ đầu số tổng đài gửi tin nhắn chị chị gửi tin nhắn thông thường phải không ạ đúng rồi vâng thế chị gửi bình thường thôi nhưng mà nó báo là lỗi ba tám này là sao vui lòng cho biết tên của chị được không ạ chị tên thúy em chào chị thúy ạ à trước tiên chị thúy là chủ thuê bao luôn phải không ạ không chị chưa đăng ký chính chủ trường hợp để đảm bảo quyền sở hữu thuê bao ngoài giữ liên lạc thông suốt chị vui lòng nhanh chóng cập nhật thông tin theo đúng quy định nhà nước giúp em không biết chị thúy đang ở khu vực tỉnh thành nào vậy chị ở thành phố hồ chí minh khi nào được chị vui lòng đem căn cước công dân mang theo liên hệ trực tiếp cửa hàng để cập nhật thông tin cửa hàng mobifone chị biết rồi phải không ạ biết rồi em còn chuyện chị gửi tin nhắn không được rồi chị gửi tin nhắn nội mạng hay ngoại mạng gọi nội mạng ngoại mạng gì cũng không được hết á kiểm tra trên hệ thống vào số thuê bao của chị chỉ gửi tin nhắn nội mạng thôi còn ngoại mạng tài khoản không đủ nên không có gửi được chị kiểm tra ấy hả mà lỗi ba tám là lỗi gì em đúng xem kiểm tra số thuê bao của chị hiện tại tài khoản không đủ để gửi tin nhắn ngoại mạng thôi chứ còn cái phút gọi tin nhắn nội mạng thôi và chị kiểm tra giúp em chỉ gửi cho số điện thoại nào mà không được vui lòng cho em xin số ờ không chín bốn một tắm chín tám chín bảy một tám sáu không chín bốn một tám chín bảy một bảy sáu đúng rồi một tám sáu em đang sửa lại một tám sáu em kiểm tra đầu không chín bốn sáu là gọi ngoại mạng rồi chị à là vậy á hả nếu được chị thông cảm và trả thêm tiền gửi thử giúp em ạ rồi ok em hỏi nếu không được nữa thì sao không được chị gọi lên tổng đài để kiểm tra lại chị gửi tin nhắn qua số điện thoại mobifone thử giúp em được không ạ còn số hoạt động hai triệu bình thường không có chặn tin nhắn ạ rồi ok dạ đúng rồi
881897068939902.mp3,128.52,dạ mobifone xin nghe em là xuân có thể giúp gì cho anh chị ạ à cho em hỏi cái số cái số mà không ba bảy ba chín năm ba tám không nữa rồi sao mà bây giờ gọi không được thì sao anh đọc lại số giúp em với ạ không chín ba bảy dạ rồi ba chín năm ba tám không anh cho em hỏi mình tên gì để em dễ xưng hô ạ à vũ thị thu thủy dạ em chào ý là anh tên gì em tiện xưng hô với anh ạ anh tên hùng em chào anh hùng nha số thuê bao này của anh vừa mới đọc thì hiện tại lâu ngày quá mình không có sử dụng sim bị hủy số gọi không nghe được gì nữa đâu ạ vậy giờ khôi phục lại được không trường hợp này nếu anh muốn khôi phục lại số thì liên hệ vào cửa hàng á anh hỏi thử xem số này có thể đăng ký lại được hay không thì mình đăng ký lại nhá ờ tối ra cửa hàng á hả cửa hàng mobifine á hả dạ anh phải ra cửa hàng của mobifone anh hỏi thử xem số này có thể lấy lại được hay không thì anh mua lại dạ dạ rồi cảm ơn nha em cám ơn anh hùng xin lỗi trường hợp này của anh hiện tại anh cần em cung cấp cho anh địa chỉ của hàng không anh hùng dạ anh cần cung cấp địa chỉ cửa hàng cho anh không ạ chỗ trường chinh ở chỗ nào chỗ gần nhất á anh ở thành phố hồ chí minh hả anh ở thành phố hồ chí minh mở chợ bà quẹo á dạ ở tân bình thì có một cửa hàng ở ba một bốn b trường chinh phường mười ba quận tân bình anh nhá rồi ba một bốn b dạ đúng rồi ba một bốn b trường chinh làm việc từ thứ 2 đến thứ 6 từ 7 rưỡi 8h tối thứ 7 chủ nhật từ 8h sáng tới 6h tối anh nha rồi rồi rồi dạ vâng ạ anh cần hỗ trợ vấn đề gì nữa không ạ dạ không cảm ơn nha dạ vậy khi cần hỗ trợ anh gọi lại em cám ơn em chào anh ạ rồi chào em dạ anh vui lòng gác máy trước giúp em đi anh nha dạ rồi dạ rồi
881897068939903.mp3,54.6,dạ mobifone xin nghe em tên trang xin phép hỗ trợ cho anh chị ừ anh có sử dụng dịch vụ chuyển tiền là 0 9 cái sim nói như thế nào nếu được duy trì dạ muốn kiểm tra tài khoản mobile nhá tài khoản mobile trả trước giúp em nha em đang giúp chị với anh huy đúng không ạ cái số điện thoại nanyang chỉ luôn hay sao anh huy ừ nếu anh chịu ừ nếu mà chuyển tiền hehehe what sinh hoạt động 2 chiều thứ 2 nữa là nó hoạt động được 365 ngày chứ anh không nghĩ tới 077 654 4869 vâng anh chờ máy em kiểm tra rồi ạ
881897068939904.mp3,90.9,dạ mobifone xin nghe em là dung em có thể hỗ trợ gì cho anh chị ây em đăng ký giùm cho chị cái mạng mà bốn g mà tháng chín chục ngàn á em mà sao sao hồi sáng hồi trưa nay mới đăng ký cho chị mười ngìn đã xài không được luôn á bực mình mới nạp vô trăm ngàn để em đăng ký giùm cho chị một tháng chín chục ngàn nha em xin lỗi chị về sự bất tiện này số đang gọi tổng đài luôn hả chị ừ chị huệ chị huệ đăng ký gói cước tháng chín mươi ngàn có nhu cầu gọi thêm gì không hay là chị chỉ lướt web thôi chị huệ vừa rồi chị đăng ký ký chín mươi ngàn nó có cuộc gọi miễn phí được nữa mà dùng mạng vô tư đó mà dịch vụ là sáu tư ghi mỗi ngày chị hết thì ngắt kết nối luôn chứ không có dùng miễn phí được hết dung lượng nó ngắt kết nối và ngoài ra thì bên em cũng có cái gói cước khác khuyến mãi nhiều hơn chị có muốn tìm hiểu thêm không có gói cước nào nữa à chị đăng ký gói cước này chị có nhu cầu gọi thêm nữa hả ý là vừa rồi chị gọi ra đăng ký gói cước là chín mươi ngày đó có miễn phí gọi nữa nhưng mà bên đây gọi bên kia nghe nói lạ sao á bây giờ chị đăng ký gói cước cũ đúng không đúng rồi dạ vậy em đăng ký gói cũ giúp chị nha ừ đăng ký liền giùm chị cái em gói một tháng chín chục ngàn đúng hông dạ vâng có số chứng minh cũ đã sắp xếp quy định rõ thì chị cũng biết hết rồi đúng không chị huệ rồi rồi rồi rồi giờ em đăng ký giùm chị liền ha kết thúc cuộc gọi cái thông báo đăng ký thành công tác luồng hai phút khởi động lại máy dùm em rồi rồi ok dạ với dữ liệu về xài sim bốn g thì mình phải tắt đi bật lại dạ chị cần thông tin gì khác nữa không ạ
881897068939905.mp3,272.1,dạ em cám ơn vì đã chờ máy ạ rồi dạ em xin lỗi vì chờ máy lâu nha thì à ừ cái này là cục trưởng ừ cục trưởng cảnh sát quảng ninh hành chính và chữ đằng sau nữa là chữ viết tắt đó anh ừ chào e dạ hai chữ t một chữ s chứ dạ là chứ viết tắt của cục trưởng cục cảnh sát cơ quản lý hành chính và trực thuộc xã hội ạ l viết tắt là cái gì em dạ anh muốn bên em kiểm tra lại về vấn đề này để chỉnh sửa lại đúng không ạ đúng rồi mà sao không thấy cái nơi cấp ở trong cái app nó nhắn lại nữa mồng bốn mồng bốn mới nhắn lại nơi cấp là ba chữ c dạ vâng thì bên em sẽ kiểm tra lại về vấn đề này để hỗ trợ về cho khách hàng nha nhưng mà nếu đúng là cái gì em nếu đúng là nơi cấp ba chữ c hay hai chữ c một chữ s dạ thì bên em sẽ kiểm tra lại á anh để hỗ trợ cho anh có được không ạ rồi bây giờ kiểm tra hay chừng nào kiểm tra bây giờ bên em kiểm tra lại á còn vấn đề nào mới hỗ trợ nữa không ạ à không đâu vậy em gửi thông tin nhắn nguồn link tải app mobile để anh có cơ hội phát biểu nhận quà vậy sau này anh còn vấn đề thắc mắc anh vui lòng liên hệ với tổng đài em cám ơn anh ạ dạ nơi cấp mà nó nhắn vô là sai hay đúng vậy ý anh muốn hỏi là như vậy á em sẽ hỏi và lên kế hoạch với bên xử lý trước ý anh để nhờ họ kiểm tra hỗ trợ lại xem là có để sai thông tin hay không hôm trước anh có ra cửa hàng chính làm luôn cái này không phải là anh đang nợ bên em nha anh nói tiếp giúp em đi ạ thì đó anh lên cửa hàng chính thì nơi cấp nói gửi lại là ba chữ c ý anh muốn hỏi nơi cấp ba chữ c là cái gì á căn cước của anh là cục cảnh sát đó anh trả sau vậy thì hai chữ c hay ba chữ c là đúng vậy cái đó là cái mã viết tắt rồi alo alo alo bên em kiểm tra lại vấn đề này có được không ạ không anh biết rồi nhưng mà ý anh hỏi là cái đó là sai rồi đúng như vậy dạ dạ em chưa có xác nhận được tại chưa có bạn nhân viên xử lý họ kiểm tra xem là có vẻ như vậy là sai hay không thì về thông tin của căn cước công dân sẽ là cục cảnh sát cục cảnh sát là ccs hả anh còn vấn đề nào cần hỗ trợ nữa không ạ ủa nãy giờ anh hỏi em không hiểu ý anh hỏi là cái tin nhắn lại là đúng hay sai hả tại vì này giờ anh gọi ba lần rồi anh gọi lên hỏi vấn đề này ba lần rồi đúng không ạ đúng rồi là những bạn trước đó là anh muốn có nhu cầu để ccs đúng không anh không không anh hỏi ccc đúng hay là ccs chứ không phải anh muốn biết cái đó là gì thế mình ngắt máy trước được không anh để em hỏi trước về các bạn xử lý và hỗ trợ hỗ trợ cho anh cái được không à à là gọi lại cho anh sao em đúng rồi em gọi lại cho anh chừng nào gọi vậy em kiểm tra xong thì em gọi lại cho anh ạ rồi rồi anh cám ơn dạ vâng rồi anh không còn vấn đề nào thắc mắc nữa đúng không ạ rồi hết rồi em gửi tin nhắn đường link tải app mobifone để anh có thể phát biểu nhận quà à rồi và sau này anh còn vấn đề thắc mắc vui lòng liên hệ lại với tổng đài ạ em cám ơn anh ạ dạ vâng ạ dạ em chào anh ạ anh vui lòng gác máy trước giúp em nha
881897068939906.mp3,78.9,dạ mobifine xin nghe ạ dạ em tên đào em có thể giúp gì cho anh chị ạ alo chị kiểm tra giúp em để em hỏi là cái số này có vô được cái gói dạ ừ rồi cái gói một trăm hai không dạ vâng số chị đang gọi chị cho em xin tên của chị để em tiện xưng hô với ạ à tên thương em chào chị thương chị thương vui lòng để máy để em kiểm tra trên hệ thống gói một năm cộng với gói c chăm hai ạ dạ đúng dạ em kiểm tra thời điểm ngay sim chị thương chưa có thuộc đối tượng để đăng ký gói cước mười hai c một hai mươi ạ em chưa có đăng ký được chị thông cảm chị thông cảm chị dõi thêm ờ vậy một hai một chín tv một một chín năm dạ em kiểm tra thời điểm này cũng chưa có thuộc đối tượng chị ạ ờ ờ sv một một chín dạ cũng một năm luôn đúng không ạ đúng rồi dạ em kiểm tra thời điểm này cũng chưa có thuộc đối tượng chị ạ thời điểm này thì em kiểm tra sim này thiên về có cước truy cập mạng á sim truy cập mạng thôi chắc nhiều hơn còn gói cước combo thì có cái gói cước như c hai chín mươi mà gói cước một tháng thôi chị ạ hoặc có c một chín mươi thôi ạ ok rồi cám ơn nha dạ thông cảm ạ dạ rồi ạ
881897068939907.mp3,26.94,dạ mobifine xin nghe ạ dạ em tên đào em có thể giúp gì cho anh chị ạ alo chị kiểm tra giúp em để em hỏi là cái số này có vô được cái gói dạ ừ rồi cái gói một trăm hai không dạ vâng số chị đang gọi chị cho em xin tên của chị để em tiện xưng hô với ạ à tên thương em chào chị thương chị thương vui lòng để máy để em kiểm tra trên hệ thống gói một năm cộng với gói c chăm hai ạ dạ đúng dạ em kiểm tra thời điểm ngay sim chị thương chưa có thuộc đối tượng để đăng ký gói cước mười hai c một hai mươi ạ em chưa có đăng ký được chị thông cảm chị thông cảm chị dõi thêm ờ vậy một hai một chín tv một một chín năm dạ em kiểm tra thời điểm này cũng chưa có thuộc đối tượng chị ạ ờ ờ sv một một chín dạ cũng một năm luôn đúng không ạ đúng rồi dạ em kiểm tra thời điểm này cũng chưa có thuộc đối tượng chị ạ thời điểm này thì em kiểm tra sim này thiên về có cước truy cập mạng á sim truy cập mạng thôi chắc nhiều hơn còn gói cước combo thì có cái gói cước như c hai chín mươi mà gói cước một tháng thôi chị ạ hoặc có c một chín mươi thôi ạ ok rồi cám ơn nha dạ thông cảm ạ dạ rồi ạ
881897068939908.mp3,15.72,dạ mobifone xin nghe em tên trang xin cái hỗ trợ anh chị ạ alo ai dạ mobile à dạ hiện tại mình đang gọi chị đang gọi lên tổng đài mobifone á thì đang cần hỗ trợ thông tin nào về sản phẩm dịch vụ của mobifone không chị
881897068939909.mp3,62.52,alo dạ anh ơi em có cập nhật gói cước một hai tăm cộng hai tăm cho anh trong nhà trong tài khoản thẻ nạp một triệu tư rồi nó còn dư bốn chục ngàn trong tài khoản của anh nha thì em tắt nguồn máy em khởi động lại giùm em là được ha rồi ok ủa nhưng mà anh chưa hết hạn của cái gói sáu tháng trước mà thực ra là cái gói cước của anh nó cần thời gian nhưng mà cái này công ty medata thì bên em gọi sớm hơn tại vì sẽ có rất nhiều bạn gọi cho mình bằng số di động cá nhân á ngoài ra khi mình hủy gói cước và cung cấp cái mã otp thành ra mấy hôm nay phỏng vấn rất là nhiều cho nên những ngày còn lại của mình thì em có hỗ trợ bù cước hồi trước lại cho mình là tám mươi ngàn á nên mình chỉ cần thanh toán có một triệu ba sáu mươi thôi đó anh không có bị thiệt thòi á dạ nhanh giùm em cái giữa tháng mười hai năm hai không hai ba là mười bốn tháng sử dụng của anh luôn nha à dạ tháng mười hai không hai ba mười bốn tháng á thì trong quá trình dùng hay là anh có cần hỗ trợ gì cứ nhắn qua cho em ha rồi ok dạ em cảm ơn
881897068939910.mp3,113.76,dạ mobifone thôi nghe em tên khang có thể hỗ trợ gì cho anh chị ờ em ơi cho anh hỏi cái thuê bao của anh bây giờ cách nào được không em gửi tiền không em số đang gọi đây sao ạ đúng rồi dạ để em kiểm tra giúp anh có thể vui lòng cho em biết tên tiện xưng hô được không ạ trường trường em chào anh trường số anh trường gọi đến là một hai năm anh trường là chủ số thuê bao này đúng không ạ đúng rồi anh trường ở quận nào vậy anh trường ờ ở quận chín tên này chưa đăng ký tên của anh trường để đảm bảo về quyền lợi sử dụng á thì anh trường vui lòng đem chứng minh nhân dân với lại liên hệ có đăng ký đâu mà mình phải đăng ký thông tin thuê bao thì đúng quy định của nhà nước anh biết địa chỉ cửa hàng rồi đúng không anh ờ ý là sim này đăng ký chính chủ rồi mà dạ có nhu cầu vui lòng liên hệ cửa hàng để kiểm tra để báo lại cho anh trường hiện tại nếu mà nếu mà tài khoản ứng phí mười ngàn mười năm ngàn hai mươi ngàn anh ứng bao nhiêu em tư vấn cho anh trường mười ngàn ứng không ứng tài khoản ngoại mạng được hả có gì dịch vụ gọi nội mạng ngoại mạng nhắn tin lên mạng nha đấy là ứng bao nhiêu anh mười ngàn mười ngàn hai mươi ngàn ờ ứng hai mươi ngàn đi đây là vấn đề về tài chính chín tám tám anh trường có được hai muoi ngày sale mười phần trăm số tiền ứng đúng vào tài khoản khuyến mãi ba rồi mới gọi nội mạng ngoại mạng trên liên mạng anh ứng thì anh ấn chọn nhấn là ut hai không anh viết liền thì anh gửi chín tám tám được nha anh trường cám ơn nha ut hay như nào nhỉ ut hai mươi rồi chín tám tám nha ok anh hiểu không kiểm tra nhắn phản hồi lại nha dạ anh trường trường hỗ trợ thông tin nào khác nữa không
881897068939911.mp3,109.8,dạ vâng sao xin nghe em tên dung em xin phép hỗ trợ anh chị à à em hỗ trợ cái vụ gói cưới đăng ký lại á dạ số đang gọi lên tổng đài là anh muốn đăng ký lại gói cước c chín mươi m cũ trước đó anh có dùng đúng không anh dạ đúng rồi dạ tại vì đi tính cho nên không có đi ấy rồi giờ đi làm ăn ấy mà cũng không đăng ký lại dạ anh vui lòng cho em biết anh tên gì em tiện xưng hô ạ dũng dạ rồi em chào anh dũng gói của anh dũng c chín mười n chín mươi ngàn thì có nội mạng và liên mạng lên mạng ba g luôn để em hỗ trợ đăng ký lại cho anh dũng trên số thuê bao này có cần em cung cấp lại thông tin gói cước cho anh dũng không ạ ờ ấy lại đi rồi tại vì anh mới nạp tiền vô đó rồi trước đây là đủ quá không biết đường đừng anh nạp thêm dạ cái này mình nạp đủ thôi ý em hỏi thông tin gói cước anh hết biết hết rồi đúng không ạ quên rồi tại vì đi cỗ bàn cũng cả tháng nay quên hết trơn rồi giờ đăng ký là nà bây giờ bấm sao dạ cái này để em đăng ký cho anh gói này em mở ngày có bốn ghi nên hẹn khách dung lượng dùng kết nối không giờ có bốn ghi mới trực miễn phí mười phút phút gọi nội mạng và năm mươi phút gọi liên mạng nha rồi rồi quý khách sử dụng ba mươi ngày bên em gia hạn tự động nó đủ tiền không đủ tiền gói cước tạm khóa đợi gia hạn ba mươi ngày nạp tiền vào hệ thống mở lại gói cước cam kết bảy trăm hai mươi ngày không chuyển mạng giữ số thuê bao bị cam kết với thời gian quy định số đông hoàn lại số tiền mà giá gói 6 tháng cam kết quả giúp em liên mạng chỉ dùng trong nước anh đợi hai phút nữa có tin nhắn báo về cho anh dũng tắt nguồn khởi động lại máy sử dụng giúp em nha rồi rồi rồi dạ tên gói là c chín mươi n dạ vâng bên em có cung cấp ứng dụng mailmobifone giúp mình có thể kiểm tra được chi tiết tài khoản ưu đãi các kích thước đang dùng nhiều tiện ích khác khi nào anh dũng có nhu cầu sử dụng thì có thể vào ch play hoặc là apple tải về sử dụng thêm à rồi rồi rồi rồi em cám ơn em dạ vâng dạ rồi
881897068939912.mp3,45.72,alo em chào anh ạ em tên thắm em gọi ra từ bộ phận chăm sóc khách hàng nhà mạng di động mobifone dạ nâng cao chất lượng chăm sóc khách hàng anh cho em xin một phút em tiết kiệm với mình được không anh quỳnh ơi quỳnh anh là ảnh tuấn đúng không ạ ừ em chào anh tuấn vừa qua mobile banking tiếp nhận thông tin vào ngày mười bốn tháng mười anh có phản ánh về trường hợp mình truy cập mạng bốn g trong sim mình không thành công á anh à bên em có tiếp nhận thông tin này có báo cáo đồng nghiệp kiểm tra xử lý và đã có phản hồi kết quả về cho anh tuấn hay hôm nay em gọi ra để hỏi thăm đến anh á và sau khi kỹ thuật bên em xử lý cho thời gian gần đây mình có truy cập mạng mình bình thường ổn định chưa anh bình thường à thế à dạ rồi cái này em cũng cám ơn anh đã phản ánh nha trong quá trình sử dụng có gì khó khăn thì liên hệ chín không chín không bên em hỗ trợ thêm nha rồi cám ơn dạ em cảm ơn ngoài ra thì mobifone
881897068939913.mp3,133.8,alo em chào anh ạ em tên thắm em gọi ra từ bộ phận chăm sóc khách hàng nhà mạng di động mobifone dạ nâng cao chất lượng chăm sóc khách hàng anh cho em xin một phút em tiết kiệm với mình được không anh quỳnh ơi quỳnh anh là ảnh tuấn đúng không ạ ừ em chào anh tuấn vừa qua mobile banking tiếp nhận thông tin vào ngày mười bốn tháng mười anh có phản ánh về trường hợp mình truy cập mạng bốn g trong sim mình không thành công á anh à bên em có tiếp nhận thông tin này có báo cáo đồng nghiệp kiểm tra xử lý và đã có phản hồi kết quả về cho anh tuấn hay hôm nay em gọi ra để hỏi thăm đến anh á và sau khi kỹ thuật bên em xử lý cho thời gian gần đây mình có truy cập mạng mình bình thường ổn định chưa anh bình thường à thế à dạ rồi cái này em cũng cám ơn anh đã phản ánh nha trong quá trình sử dụng có gì khó khăn thì liên hệ chín không chín không bên em hỗ trợ thêm nha rồi cám ơn dạ em cảm ơn ngoài ra thì mobifone
881897068939914.mp3,37.38,dạ mobifone xin nghe em là thanh em có thể giúp được gì cho anh chị ạ dạ alo tổng đài xin nghe dạ alo ạ rất tiếc điện tổng đài không nhận được tín hiệu từ quý khách hàng tổng đài xin phết được gác máy trước ừ thôi alo dạ đâu ạ tổng đài không nhận được tín hiệu từ quý khách hàng tổng đài xin phép được gác máy trước khách hàng cần thông tin vui lòng gọi lại tổng đài em cảm ơn và xin chào alo dạ alo dạ alo à
881897068939915.mp3,69.23,em cám ơn anh huy đã chờ máy anh huy ơi số đấy chưa chuyển được nói nói cắt mạng tháng ba ừ chưa đủ tiền chỉ biết hả dạ chưa có hoạt động đủ ba trăm số năm ngày có gì anh ts sáu mươi đăng ký được không hay sao ạ à thì ra là vậy anh chờ máy em kiểm tra gói này có sáu mươi ghi để lên mạng tốc độ cao trong tháng có sáu mươi giây hạ băng thông khi này mạng chậm lại có một trăm phút gọi nội mạng ba năm phút gọi lên mạng miễn phí gọi hội nhóm phí thêm thành viên nhóm là mười năm ngàn trên ba mười ngày có một trăm tin nhắn nội mạng hai mươi tin nhắn liên mạng dạ sao ạ rồi để anh kiểm tra lại chút nha thế bên em có ứng dụng mail mobifone đó anh huy để anh có thể dễ để dễ kiểm tra tài khoản gói cước dịch vụ trên thuê bao và nhiều tiện ích khác có nhu cầu sử dụng gõ vào store tải về nhé anh anh huy cần hỗ trợ thêm gì khác không ạ
881897068939916.mp3,38.28,dạ alo alo dạ em chào chị em gọi đến từ bộ phận chăm sóc khách hàng của mobifone ạ dạ để đồng hành cùng chương trình chuyển đổi số quốc gia cũng như hỗ trợ chị cập nhật lại thông tin chính xác theo quy định của nhà nước thì hôm nay bên em gọi ra để mời chị liên hệ cửa hàng mobile gần nhất để cập nhật lại thông tin theo căn cước công dân mới nhất đó chị không biết mình đã làm lại căn cước công dân mới gắn chip chưa chị ạ chưa rõ số cũ dạ vâng ạ vậy khi nào mà mình làm lại và có căn cước công dân mới thì mình đến cửa hàng mobifone để bên em hỗ trợ cập nhật lại thông tin cho đầy đủ và chính xác nha chị dạ vâng dạ em cám ơn chị nhiều em chào chị dạ dạ
881897068939917.mp3,75.18,dạ em cám ơn chị huyền đã giữ máy ạ dạ hiện tại em kiểm tra thuê bao của mình có thể bị trường hợp bị lời nhắn thoại á chị chị soạn tin nhắn giúp em được không ạ soạn tin nhắn hả dạ chị soạn tin nhắn với cú pháp hủy gửi một không hai sáu hủy không dạ không ừ vâng dạ dạ không biết dạ alo ạ dạ alo dạ alo ạ dạ alo dạ alo ạ dạ alo dạ khách hàng không tổng đài không nhận được tín hiệu từ khách hàng tổng đài xin gác máy trước khi cần hỗ trợ khách hàng gọi lên tổng đài dạ cám ơn dạ em xin chào
881897068939918.mp3,45.12,dạ mobile xin nghe em tên kiệt có thể giúp gì cho anh chị ạ à chị là chỉ số thuê bao chị gọi lên tổng đài mà ủa chị đăng ký gọi nội mạng mà sao mấy cái mạng mobifone mà sao chị gọi không được cưng xin hỏi trường hợp này cái số chị gọi cho em cái số chị gọi cho bên em xong là số nào chị đọc lại để em kiểm tra à cái cái cái cái đầu của nó là không bảy tám không bảy chín á nhưng hiện tại bây giờ hiện nay đang có dịch vụ chuyển mạng giữ số nhưng chị thanh thì tuy nhiên số số điện thoại của mobifone và họ chuyển sang mạng khác thì nó sẽ không tính mạng mobifone nữa mà là tính cách mạng họ đang chuyển đến thì cho nên em cần phải biết số điện thoại của họ chính xác là số nào để xem họ còn đang ở trên mạng mobifone hay không hay là chuyển viettel chuyển nè rồi rồi rồi à để để chị coi lại rồi chị gọi lại dạ rồi
881897068939919.mp3,99.06,dạ mobifone xin nghe em tên nhân có thể hỗ trợ được vấn đề gì cho anh chị ạ chẳng có cái gói này đăng ký wifi á gói nào ừ dạ rồi có số đang gọi lên tổng đài đúng không ạ dạ dạ rồi em biết anh tên gì để em tiện xưng hô được không anh em tên tường dạ em chào anh tường cái gói cước trên sim của anh từ trước đó sử dụng gói sáu ws và đăng ký lại hình thức là sáu tháng đúng không anh đúng rồi bây giờ chỉ cần chị nhắn cho em thôi dạ để em xem coi hiện tại kết thúc cuộc gọi này cũng không đủ tiền gia hạn rồi anh anh đang gọi lên trên tổng hai trăm đồng một phút á gói cước thì vẫn chờ gia hạn lại nhưng mà do hiện tại mình đang gọi lên trên hiện tại trong năm trăm đồng một phút cho nên hổng đủ tiền ta này giờ nạp đủ sau trăm ngày mà vẫn không gia hạn là sao hả chị cái đó hệ thống sẽ trừ các dữ liệu và thông tin gia hạn lại cũng mong anh thông cảm bây giờ em nap mười ngàn nữa chị ra hạn gấp giùm em nha vận thì em tạm ngưng trước đường truyền mạng cho anh nha anh cứ nạp tiền giùm em ạ vậy giờ em nạp luôn xong chị gia hạn giùm em nha nội dung của gói cước điều kiện kỹ giùm anh tường đóng rồi đúng không anh rồi em nắm được rồi bây giờ chỉ cần là gia hạn thôi dạ rồi nạp thêm tiền nha rồi rồi rồi để chị coi giùm em cái ngoài thông tin này ra anh cần hỗ trợ thêm gì nữa không anh không không kết thúc cuộc gọi em có xin phép gửi cho anh đường lên tải ứng dụng mailmobile về máy có nhu cầu
